shoeId,shoeBrand,shoeCategory,shoeColour,shoeImage,shoePrice
42,Charles By Charles David,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Gray,https://i5.walmartimages.com/asr/9d4b0bab-212c-4ef9-a217-1a779a86f51c_1.1bb339622411650f430f39b90448f2f0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,99
43,Tretorn,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Black,https://i5.walmartimages.com/asr/14ad6492-239e-446f-ae9c-50b4f4e1855c_1.443de24ba0a20d90e7e2629d33774fdb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,40
44,Henry Ferrera Collection,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Silver,https://i5.walmartimages.com/asr/72f49b7e-0511-4e1e-98a4-f74d7ad5b2d8_1.60ca2a85c36d42c9d596d0641938c500.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,40
45,Qupid,"Women's Sandals,Shoes,Women's Shoes,Clothing","Green Pu,Red PU",https://i5.walmartimages.com/asr/b83ecf96-e92f-48ae-bbc9-3387fc5f201c_1.dc58a83ce02962a59fbd8059206b79c4.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,39.95
46,Justin Boots,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Cowboy Boots","Brown,Copper Kettle","https://i5.walmartimages.com/asr/1f87eed0-5c59-4125-9713-93b504151ad8_1.5700d4a8f88ccf53dfc26122309a25a7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,http://s2.shoes.com/images/br462/womens-justin-boots-silver-svl7313-12-inch-copper-kettle-478918_366_45.jpg",210
47,C Label,"Flats,Shoes,Women's Shoes,C Label","Black,Blue,Brown,Red",http://ak1.ostkcdn.com/images/products/11141693/Beston-AB11-Womens-Glitter-Slip-On-Espadrilles-6e3cafe0-d94a-456e-8a55-ae3a8f6e8b01_80.jpg,41.99
48,Bare Traps,"Women's Sandals,Shoes,Clothing,Women's Shoes",Mint,https://i5.walmartimages.com/asr/791eda7a-d417-400c-9eaf-9526c25ee385_1.138b3a82e17125267614c90bf869d696.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,36.59
49,Material Girl,"Clothing,Shoes,Women's Shoes,Women's Sandals","Black,Blush,Coral,MINT,Pink",https://i5.walmartimages.com/asr/c96f87e7-d882-46e8-b9b5-64dca1add396_1.b2659e4e77f95b4dec00102e93473481.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,26.99
50,Bellini,"Loafers,Shoes,Women's Shoes,Bellini",Red,http://ak1.ostkcdn.com/images/products/93/331/P17658622.jpg,78.95
51,Vaneli,"Shoes,Wedges,Women's Shoes,Clothing,All Women's Shoes","Black Suede,Cuoio Suede",https://i5.walmartimages.com/asr/46db0d06-b9f8-4172-8519-510c2f30acb6_1.d641bee827b5fb0a0badce774f11042a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,194.95
52,Two Lips,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Silver,https://i5.walmartimages.com/asr/bbd8d4af-7388-42ba-b5db-50107aae26b4_1.25c33cc893ebfbffd6d1302f95b29dd9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
53,Unique Bargains,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Red,https://i5.walmartimages.com/asr/c743683e-8af1-4a16-a8c7-4e2c05f9f261_1.503bc1438a42a7ea3c44086f806128df.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,70.99
54,Minnetonka,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/590077d0-5ce6-4855-94a9-d6d84129bde0_1.a0a8fa8d0a54f7f26d12c37053199f27.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,35
55,Via Spiga,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Tmoro,https://i5.walmartimages.com/asr/a30df609-7628-4311-be19-47007fb63c44_1.d5a6ef3d7b47559bb34ea5923a93981f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,98.99
56,Finn Comfort,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Sandals","Black Leather,Black Points Leather,Cognac Plisseelight Leather,Lake Nubuck Vienna,Light Red Leather,Mint Leather,Old Brass,Stone Leather,Taupe Equipe Leather,Taupe Equipe","https://i5.walmartimages.com/asr/5e45e2a1-6aef-469b-9963-e61736fed42d_1.a2a0c8ad4f7c214f5c22e0c9dc3c471c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,http://s3.shoes.com/images/br305/342812_366_45.jpg",254.95
57,Saucony,"Clothing,Shoes,Women's Shoes,All Women's Shoes",WhiteGrey,https://i5.walmartimages.com/asr/57b2b701-066e-4fa6-ab00-0c51484d6ce0_1.33e63c95a04bda189d33d78d06a79821.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
58,Kenneth Cole Reaction,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Coral,Marine",https://i5.walmartimages.com/asr/578ec226-c1da-4d09-bac0-c66fa02d2f97_1.a982d78fe701b7c16ddfc5a975b3a78f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,78.93
59,EasyComforts,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Light Blue,https://i5.walmartimages.com/asr/810836e5-c965-4e8b-9a4a-0947c33d1f40_1.ed66b9185fa2f91450fc5e3b39d50a8b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,28.79
60,M.G.,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/a057396e-67f8-4782-8656-6c84d429f261_1.8454431c1861c4cc81cbe7aeef12ae62.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,80
61,L.A. Beauty,"Shoes,Women's Shoes,Clothing,All Women's Shoes","White,Blue,Red,Black,Gold,Copper,Silver",https://i5.walmartimages.com/asr/38f183c4-342a-44b0-9f12-c63291e1a0ee_1.6ceaaaa2cc0ae7f4ecae18dbf7388821.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,9.99
62,Elites by Walking Cradles,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/313bacc5-0ec6-49fd-bf50-76c744c86a1a_1.255bd3fff05dfb703ce5acb4fc7c7012.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,44.99
